names	abundances	samples	treatments
M00967_43_000000000-A3JHG_1_2104_26311_10309	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2104_26311_10309	4	F3D5	Early
M00967_43_000000000-A3JHG_1_1101_9620_19745	1	F3D0	Early
M00967_43_000000000-A3JHG_1_1111_10475_27173	1	F3D7	Early
M00967_43_000000000-A3JHG_1_2113_5333_12504	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1114_7390_15529	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2102_22437_24206	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1107_21132_10931	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2103_10962_17123	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1107_27878_20060	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2108_22087_14118	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2108_22087_14118	4	F3D147	Late
M00967_43_000000000-A3JHG_1_2108_22087_14118	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2108_22087_14118	3	F3D149	Late
M00967_43_000000000-A3JHG_1_2108_22087_14118	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2108_22087_14118	12	F3D2	Early
M00967_43_000000000-A3JHG_1_2108_22087_14118	2	F3D3	Early
M00967_43_000000000-A3JHG_1_2108_22087_14118	1	F3D5	Early
